VESSEL,CRUISE,YEAR,HAUL,STRATUM,STATIONID,LATITUDE,LONGITUDE,SPECIES_CODE,CPUE_KGHA,CPUE_NOHA,AREA_FISHED
19,198201,1982,49,10,J-05,58.01533,-165.24683,10130,0.1492336955,3.2901917129,4.2550712
19,198201,1982,50,31,I-05,57.68283,-165.24933,10130,3.288338673,37.06202864,4.9106864
19,198201,1982,51,31,H-05,57.35033,-165.24900,10130,2.4494252839,33.119801016,4.1666917
19,198201,1982,52,31,G-05,57.01800,-165.21617,10130,3.7704419297,23.469915529,5.1129285
19,198201,1982,53,31,F-05,56.68150,-165.19600,10130,8.3650868016,30.882835123,4.565643
19,198201,1982,54,31,E-05,56.34433,-165.19817,10130,2.1725438544,12.931808657,4.17575
19,198201,1982,55,31,D-05,56.01550,-165.17767,10130,5.195530534,23.308297632,4.5048335
19,198201,1982,56,31,C-05,55.68600,-165.15117,10130,28.894818782,134.14643466,4.3310879
19,198201,1982,57,50,B-05,55.34833,-165.16550,10130,27.482079187,141.5404186,4.7336302
19,198201,1982,58,50,A-05,55.01050,-165.15900,10130,7.5971804778,27.180011379,4.0838835
19,198201,1982,59,50,A-03,55.01017,-166.34633,10130,5.6989971343,55.423551477,4.2581176
19,198201,1982,60,50,B-03,55.31267,-166.34683,10130,4.8454468398,64.924009455,4.8210208
19,198201,1982,61,50,C-03,55.64783,-166.37883,10130,9.9265368379,90.099553602,4.683708
19,198201,1982,62,50,D-03,55.98383,-166.40250,10130,17.80200698,204.00639601,4.6959312
19,198201,1982,63,31,E-03,56.31917,-166.41450,10130,9.5417363822,162.26549302,4.94868
19,198201,1982,64,31,F-03,56.64550,-166.43000,10130,0,0,4.821343
19,198201,1982,65,31,G-03,56.97717,-166.46133,10130,1.7778543883,23.161324863,4.490244
19,198201,1982,66,31,H-03,57.31067,-166.48033,10130,1.1981437014,19.440779634,4.7323205
19,198201,1982,67,31,I-03,57.73550,-166.53083,10130,2.984445778,48.181935637,4.9396106
19,198201,1982,68,31,J-03,57.98533,-166.51633,10130,3.6270075718,123.93016262,4.389569
19,198201,1982,69,10,K-03,58.32600,-166.56433,10130,0.5790666834,8.9604128958,4.46408
19,198201,1982,70,20,L-03,58.65783,-166.56683,10130,0.2692056203,8.8029214235,4.884742
19,198201,1982,71,20,M-03,58.97817,-166.57883,10130,0,0,5.824
19,198201,1982,72,20,N-03,59.33817,-166.61450,10130,0,0,5.477186
19,198201,1982,73,20,O-03,59.65917,-166.64017,10130,0,0,5.019695
19,198201,1982,74,20,Q-01,60.33417,-167.98750,10130,0,0,3.8528
19,198201,1982,75,20,P-01,60.01817,-167.97450,10130,0.2354754908,0.692574973,2.887774
19,198201,1982,76,20,O-01,59.67683,-167.94817,10130,1.1637282071,2.6180612084,3.8196204
19,198201,1982,77,20,N-01,59.35667,-167.91667,10130,0,0,4.7097796
19,198201,1982,78,20,M-01,59.00667,-167.87833,10130,0,0,5.0261428
19,198201,1982,79,20,L-01,58.68367,-167.87033,10130,0.6412414062,9.9171918699,4.7392448
19,198201,1982,80,41,K-01,58.35417,-167.83567,10130,2.8951970579,93.565032267,4.1361606
19,198201,1982,81,41,J-01,58.04117,-167.78867,10130,2.4358146723,24.872556413,3.538036
19,198201,1982,82,31,I-01,57.68383,-167.75900,10130,0.7902720263,4.8399805626,5.16531
19,198201,1982,83,31,H-01,57.37183,-167.73900,10130,0.450703061,2.7821176605,5.032138
19,198201,1982,84,31,G-01,56.98800,-167.71483,10130,0.4482250639,2.4157156799,4.553516
19,198201,1982,85,31,F-01,56.68167,-167.66483,10130,6.7310588735,12.643610341,4.508206
19,198201,1982,86,50,E-01,56.34333,-167.64800,10130,33.711015621,95.072081046,4.144224
19,198201,1982,87,50,D-01,56.01283,-167.61633,10130,13.081673812,110.21133797,3.883448
19,198201,1982,88,50,C-01,55.72000,-167.54750,10130,4.6770652369,41.244328905,4.80066
19,198201,1982,89,50,E-19,56.33667,-168.88133,10130,3.0308713028,11.63978738,4.63926
19,198201,1982,90,32,F-19,56.65150,-168.89450,10130,2.2559335705,7.0459067975,4.8254967
19,198201,1982,91,32,GF2019,56.82833,-169.31933,10130,0.4030777004,3.5552608639,4.500373
19,198201,1982,92,32,G-19,56.98000,-168.99567,10130,0.56913197,1.596763042,4.383869
19,198201,1982,93,42,HG2019,57.14733,-169.33217,10130,0.4215390667,1.2389098213,3.228645
19,198201,1982,94,42,H-19,57.31483,-169.02200,10130,0,0,3.79848
19,198201,1982,95,42,IH2019,57.49250,-169.29500,10130,0.3197624744,0.6408065619,4.6816
19,198201,1982,96,42,I-19,57.66683,-169.07167,10130,0.5318707647,3.4748600392,4.604502
19,198201,1982,97,42,JI2019,57.81817,-169.30317,10130,0.2755080662,9.6375445213,4.773
19,198201,1982,98,42,J-19,58.00800,-169.04950,10130,0.4631962127,17.247874653,4.40634
19,198201,1982,99,41,K-19,58.31383,-169.11733,10130,1.1298953574,34.742479564,4.57653
19,198201,1982,100,41,L-19,58.64317,-169.14933,10130,1.3668333775,58.357270425,4.712352
19,198201,1982,101,41,M-19,58.98417,-169.18300,10130,0.2038270234,1.1725427998,5.117084
19,198201,1982,102,20,N-19,59.31283,-169.23083,10130,0.8720741371,7.6209060644,5.7735917
19,198201,1982,103,20,O-19,59.65000,-169.26450,10130,0.4054923127,2.9144152809,5.14683
19,198201,1982,104,20,P-19,59.99100,-169.31617,10130,1.4281281216,8.8337821952,4.41487
19,198201,1982,105,20,Q-19,60.29867,-169.33350,10130,1.6892779317,8.3859614073,4.054395
19,198201,1982,106,41,Q-21,60.33817,-170.62317,10130,2.6883723381,19.191907789,5.31474
19,198201,1982,107,41,P-21,60.01733,-170.62850,10130,2.6394856411,13.063233174,4.21029
19,198201,1982,108,41,O-21,59.68183,-170.58417,10130,1.4899711701,7.0746468987,3.9577947
19,198201,1982,109,41,N-21,59.35717,-170.54483,10130,3.7896064131,33.507077819,4.536355
19,198201,1982,110,41,M-21,59.02167,-170.48783,10130,1.7219490945,10.786815193,4.8207
19,198201,1982,111,41,L-21,58.68867,-170.43967,10130,0.8467649926,21.158752878,4.8207
19,198201,1982,112,41,K-21,58.35783,-170.38483,10130,1.5192027088,38.18102046,4.478665
19,198201,1982,113,42,J-21,58.02450,-170.32933,10130,0.4284832613,13.079760379,4.128516
19,198201,1982,114,42,JI2221,57.85250,-170.58583,10130,1.3156943419,10.50874075,4.757944
19,198201,1982,115,42,I-21,57.68367,-170.29783,10130,1.9052833631,147.12290091,4.785115
19,198201,1982,116,42,IH2221,57.51450,-170.55167,10130,1.4095346776,9.3230900543,5.1485076
19,198201,1982,117,42,H-21,57.35700,-170.28000,10130,0,0,4.0767053
19,198201,1982,118,42,G-21,57.00233,-170.18050,10130,0,0,4.2856023
19,198201,1982,119,42,GF2221,56.85250,-170.44867,10130,8.0396372815,100.72512362,4.6264525
19,198201,1982,120,42,F-21,56.67217,-170.13367,10130,17.924739428,210.38766766,4.1399765
19,198201,1982,121,50,E-21,56.34500,-170.06700,10130,9.454061549,152.06636389,4.7018945
19,198201,1982,122,61,F-23,56.66200,-171.33117,10130,3.1447847602,31.947709727,4.6012688
19,198201,1982,123,61,G-23,56.98050,-171.40833,10130,1.4664545304,7.3660336393,4.8872978
19,198201,1982,124,41,H-23,57.31417,-171.45967,10130,2.4927497806,21.905982921,5.295357
19,198201,1982,125,41,I-23,57.67350,-171.51050,10130,1.8758545361,16.583763245,4.7636956
19,198201,1982,126,41,J-23,57.97783,-171.59183,10130,4.1012006698,40.602224983,5.3199055
19,198201,1982,127,41,K-23,58.29667,-171.64050,10130,1.2289687881,24.104755005,5.3516412
19,198201,1982,128,41,L-23,58.69917,-171.72050,10130,0.2800801382,8.6008861339,4.5344165
19,198201,1982,129,41,M-23,58.98033,-171.77500,10130,0.7872619596,32.289312238,5.35781
19,198201,1982,130,43,N-23,59.31133,-171.82617,10130,0.7097693621,8.8012183233,5.1129285
19,198201,1982,131,43,O-23,59.64600,-171.88750,10130,2.9138145877,11.162426682,4.7480715
19,198201,1982,132,43,P-23,59.96300,-171.95667,10130,0.3331017107,2.7544242894,5.4457841
19,198201,1982,133,43,Q-23,60.37683,-172.19400,10130,0,0,4.3949672
19,198201,1982,134,41,R-23,60.59167,-172.10300,10130,0.6866439372,14.190767509,5.2851264
19,198201,1982,135,41,R-24,60.66817,-172.72233,10130,14.166236781,47.502364371,4.6524
19,198201,1982,136,41,R-25,60.64267,-173.33017,10130,0,0,4.6818652
19,198201,1982,137,43,Q-25,60.31983,-173.39167,10130,0,0,2.4130448
19,198201,1982,138,43,P-25,59.97800,-173.27817,10130,0.0406085753,0.89249616,2.240906
19,198201,1982,139,61,I-25,57.74267,-172.81617,10130,0.6644040853,29.293995187,4.9156832
19,198201,1982,141,61,F-25,56.67933,-172.63050,10130,4.4722131211,42.288258095,4.3510896
19,198201,1982,142,61,G-26,57.03050,-173.28150,10130,23.675647668,88.003545286,4.454366
19,198201,1982,143,61,G-25,57.01583,-172.69083,10130,30.401514951,109.24129456,3.853854
19,198201,1982,144,61,H-25,57.31950,-172.72033,10130,8.2438246668,23.393117745,4.445752
19,198201,1982,145,61,H-26,57.34250,-173.27000,10130,0.8573126349,6.2370628197,5.290952
19,198201,1982,146,61,I-26,57.65600,-173.37867,10130,4.0187626919,35.650144084,4.7405138
19,198201,1982,147,61,J-26,57.97467,-173.48250,10130,4.9017488937,36.458026333,4.58061
19,198201,1982,148,61,J-25,58.01000,-172.89683,10130,0.7567500676,16.922599937,4.1955728
19,198201,1982,149,61,K-25,58.35450,-172.93867,10130,0,0,6.1040344
19,198201,1982,150,61,L-25,58.63567,-172.96983,10130,0.1908803125,3.2514682483,5.2284072
19,198201,1982,151,61,M-25,59.02800,-173.08700,10130,0.0447625808,0.1971919861,5.0712
19,198201,1982,152,43,N-25,59.32317,-173.17517,10130,0.1766480887,0.5842825425,5.1345022
19,198201,1982,153,43,O-25,59.67183,-173.25283,10130,1.0532528348,5.3582474216,5.5988456
19,198201,1982,154,62,N-26,59.31083,-173.80550,10130,0.3268569174,2.9218437192,5.1337448
19,198201,1982,155,61,M-26,58.92583,-173.62083,10130,0.266411147,1.1016312074,5.4464688
19,198201,1982,156,61,L-26,58.68117,-173.63500,10130,4.8117812817,16.260595714,5.1658624
19,198201,1982,157,61,K-26,58.34383,-173.59433,10130,3.5595165657,48.794955749,3.9758208
19,198201,1982,158,61,K-27,58.37417,-174.28700,10130,2.8867738949,10.414255959,3.4568
19,198201,1982,159,61,L-27,58.67267,-174.29000,10130,3.3724596598,26.877751261,5.729646
19,198201,1982,168,61,M-27,59.04583,-174.32650,10130,0.0492085018,0.2167775412,4.613024
19,198201,1982,169,62,N-27,59.32717,-174.45183,10130,0.0873700342,0.7697800369,5.1962896
19,198201,1982,170,62,O-27,59.67533,-174.47550,10130,0,0,4.538724
19,198201,1982,171,62,P-27,60.00800,-174.57767,10130,2.3545242244,7.9861756106,5.0086552
19,198201,1982,172,62,Q-27,60.32750,-174.72417,10130,10.852668212,68.672746129,5.4752434
19,198201,1982,173,41,R-27,60.69417,-174.80900,10130,1.6374746322,7.9418963642,5.5402385
19,198201,1982,185,61,R-28,60.66617,-175.49800,10130,14.10411219,60.431639308,5.6923824
19,198201,1982,186,61,Q-28,60.27567,-175.37283,10130,2.8534991617,11.18402513,5.7224478
19,198201,1982,187,61,P-28,60.00933,-175.33167,10130,0.5237530291,1.4694473761,4.7636956
19,198201,1982,188,61,O-28,59.66000,-175.17250,10130,0,0,4.1009104
19,198201,1982,189,61,N-28,59.33500,-175.14183,10130,0.1851804213,1.0208402495,4.897926
19,198201,1982,190,61,M-28,59.03517,-175.06050,10130,1.3879944163,16.066078403,5.2284072
19,198201,1982,191,61,L-28,58.69617,-174.99517,10130,3.3080008444,10.74711651,5.2107
19,198201,1982,192,61,L-29,58.68033,-175.53917,10130,3.3747009964,44.638347652,4.771682
19,198201,1982,193,61,M-29,58.95450,-175.74583,10130,0.3757690487,4.2593469001,4.226
19,198201,1982,194,61,N-29,59.32467,-175.79817,10130,1.4358099301,12.661791629,5.370488
19,198201,1982,195,61,O-29,59.67817,-175.92050,10130,0.3045917397,4.027976406,5.213536
19,198201,1982,196,61,P-29,59.95150,-175.96367,10130,0.092357457,1.627444177,4.9156832
19,198201,1982,197,61,Q-29,60.30400,-176.06217,10130,0.1028200638,0.8242089284,4.8531384
19,198201,1982,198,61,R-29,60.65167,-176.25000,10130,0.88969886,5.4170201428,5.3534968
19,198201,1982,199,90,S-29,60.98000,-176.32800,10130,11.835343042,41.612757527,4.445752
19,198201,1982,200,90,T-29,61.30967,-176.34583,10130,5.5806352622,34.479807841,5.1044368
19,198201,1982,201,90,U-29,61.65450,-176.50133,10130,2.0286505469,16.466649394,4.9190335
19,198201,1982,204,90,T-30,61.34517,-177.01950,10130,12.866202128,64.396173436,3.913276
19,198201,1982,205,90,S-30,61.02017,-177.01367,10130,3.4150792598,14.829324062,4.3832072
19,198201,1982,206,61,R-30,60.67883,-176.84750,10130,0.2683388547,1.6564126834,4.226
19,198201,1982,207,61,Q-30,60.33900,-176.76517,10130,0.6681700659,5.5730598288,5.02417
19,198201,1982,208,61,P-30,60.04033,-176.74167,10130,1.230429658,10.172576632,4.423658
19,198201,1982,209,61,O-30,59.68300,-176.58367,10130,0.4130947859,2.2772590182,4.391244
19,198201,1982,210,61,N-30,59.36817,-176.45033,10130,1.3049096536,8.8704128578,4.17117
19,198201,1982,211,61,M-30,59.02767,-176.36850,10130,0.6066711539,8.2464484552,4.48678
19,198201,1982,212,61,L-30,58.70600,-176.30183,10130,2.4733591151,44.59208867,4.328122
19,198201,1982,213,61,L-31,58.69950,-176.91167,10130,3.3882466349,32.040622005,5.087292
19,198201,1982,214,61,M-31,58.97933,-177.00917,10130,57.334267606,255.21006238,4.897926
19,198201,1982,215,61,M-32,58.99667,-177.58383,10130,8.1449275961,53.835124856,5.814048
19,198201,1982,216,61,N-31,59.30683,-177.15600,10130,3.7625356375,18.931733418,5.1236724
19,198201,1982,217,61,O-31,59.63117,-177.18517,10130,38.578191521,134.33271429,4.8982856
19,198201,1982,218,61,P-31,59.96133,-177.24517,10130,1.6576403972,8.3708900461,4.897926
1,198203,1982,1,10,J-16,58.01500,-158.31667,10130,0,0,4.2818685
1,198203,1982,2,10,I-16,57.67167,-158.36000,10130,0,0,4.6382895
1,198203,1982,3,10,H-16,57.33833,-158.41000,10130,0,0,4.384548
1,198203,1982,4,10,F-14,56.68500,-159.76000,10130,0,0,4.749516
1,198203,1982,6,10,G-14,56.99333,-159.72333,10130,0,0,4.417899
1,198203,1982,7,10,H-14,57.31667,-159.66333,10130,0,0,4.141236
1,198203,1982,8,10,I-14,57.65000,-159.64167,10130,0.4741957485,1.1944477292,3.348828
1,198203,1982,9,10,J-14,57.99667,-159.60500,10130,0,0,4.262892
1,198203,1982,10,10,K-14,58.32167,-159.54000,10130,0,0,4.2098452
1,198203,1982,11,10,K-12,58.33333,-160.72167,10130,0,0,4.1820064
1,198203,1982,12,10,J-12,58.00167,-160.85333,10130,0,0,4.535796
1,198203,1982,13,31,I-12,57.67500,-160.89000,10130,2.2441222499,12.265235085,4.810344
1,198203,1982,14,31,H-12,57.34500,-160.94000,10130,8.9014364617,78.103886176,4.5708353
1,198203,1982,15,31,G-12,57.01500,-160.95167,10130,7.7498075362,39.341406864,4.4482395
1,198203,1982,16,31,F-12,56.67833,-160.99167,10130,9.569094537,52.094863627,4.6453716
1,198203,1982,17,10,E-12,56.34167,-161.00333,10130,7.1212551171,42.478353557,4.567032
1,198203,1982,18,31,D-10,56.00167,-162.23167,10130,6.0247063981,34.658153074,4.6453716
1,198203,1982,19,31,E-10,56.32333,-162.20500,10130,9.4108937868,41.709617898,4.6512054
1,198203,1982,20,31,F-10,56.65333,-162.18667,10130,13.35987724,66.543031895,4.5835002
1,198203,1982,21,31,G-10,56.99333,-162.17333,10130,1.5111621337,8.5672183955,4.202064
1,198203,1982,22,10,H-10,57.33500,-162.15333,10130,0.8937971094,3.2844087801,4.567032
1,198203,1982,23,10,I-10,57.66500,-162.13667,10130,1.6089223811,3.9412905362,4.567032
1,198203,1982,24,10,J-10,57.98500,-162.13000,10130,0,0,4.1578893
1,198203,1982,25,10,K-10,58.31167,-162.06500,10130,0,0,4.1283891
1,198203,1982,26,10,M-08,58.99167,-163.34667,10130,0,0,4.0953968
1,198203,1982,27,10,L-08,58.68500,-163.36167,10130,0,0,4.1630615
1,198203,1982,28,10,K-08,58.34333,-163.38500,10130,0,0,4.460079
1,198203,1982,29,10,J-08,58.01000,-163.39167,10130,0.1493565303,0.2196419564,4.5528642
1,198203,1982,30,10,I-08,57.68500,-163.39167,10130,1.2156276585,2.1100983483,4.7391156
1,198203,1982,31,10,H-08,57.34500,-163.40000,10130,2.1724018074,11.631757709,4.384548
1,198203,1982,32,31,G-08,57.01667,-163.39500,10130,7.3338592669,42.536513962,4.6078059
1,198203,1982,33,31,F-08,56.68167,-163.38000,10130,16.229736392,84.433289651,4.5835002
1,198203,1982,34,31,E-08,56.34000,-163.39667,10130,11.061703763,45.606566383,4.7361601
1,198203,1982,35,31,D-08,56.00500,-163.39000,10130,6.272053551,31.000086889,4.4838584
1,198203,1982,36,31,C-08,55.68333,-163.40000,10130,18.338593207,90.008759576,4.6995426
1,198203,1982,37,31,B-08,55.35000,-163.41667,10130,44.704031669,261.67602304,4.62786
1,198203,1982,38,31,A-06,55.00833,-164.57667,10130,0,0,4.3107675
1,198203,1982,39,31,B-06,55.32667,-164.59000,10130,14.265455186,74.257157604,4.5786832
1,198203,1982,40,31,C-06,55.66000,-164.58000,10130,16.337491835,75.604528457,4.4838584
1,198203,1982,41,31,D-06,55.98500,-164.59167,10130,4.3579814706,20.441772459,4.8919437
1,198203,1982,42,31,E-06,56.31833,-164.58167,10130,2.9842601631,13.604354678,4.4838584
1,198203,1982,43,31,F-06,56.66000,-164.61167,10130,8.4538055261,42.888781754,4.453379
1,198203,1982,44,31,G-06,56.99000,-164.60500,10130,11.549461049,99.484669412,4.6539834
1,198203,1982,45,31,H-06,57.32500,-164.61667,10130,9.8749191958,110.6597998,4.4279856
1,198203,1982,46,10,I-06,57.65667,-164.62000,10130,0.9336479359,15.327240974,4.567032
1,198203,1982,47,10,J-06,57.99000,-164.62500,10130,0.6693194238,1.3622512018,4.404474
1,198203,1982,48,10,K-06,58.31833,-164.63000,10130,0,0,4.5528642
1,198203,1982,49,10,L-06,58.65167,-164.65167,10130,0,0,4.4004465
1,198203,1982,50,10,M-06,58.98833,-164.63667,10130,0,0,3.9531096
1,198203,1982,51,10,N-06,59.32000,-164.65500,10130,0,0,4.2964548
1,198203,1982,52,20,O-04,59.66167,-165.95167,10130,0.055316851,0.2436865684,4.103632
1,198203,1982,53,20,N-04,59.34167,-165.96167,10130,0,0,4.0953968
1,198203,1982,54,20,M-04,59.01667,-165.92833,10130,0.1518409919,0.2391196723,4.1820064
1,198203,1982,55,10,L-04,58.68167,-165.91833,10130,0.9954769373,3.1011742596,4.1919605
1,198203,1982,56,10,K-04,58.34500,-165.91667,10130,0.330965492,4.2926782363,4.659096
1,198203,1982,57,10,J-04,57.99500,-165.90000,10130,2.6200472861,62.613045208,4.535796
1,198203,1982,58,31,I-04,57.67667,-165.88833,10130,1.8496961864,19.634008277,4.6348152
1,198203,1982,59,31,H-04,57.34667,-165.87667,10130,3.5126725245,34.70647003,4.2355215
1,198203,1982,60,31,G-04,57.01167,-165.85833,10130,2.6730332945,34.650431596,4.2423714
1,198203,1982,61,31,F-04,56.67333,-165.82500,10130,2.1580964904,10.572685138,4.7291676
1,198203,1982,62,31,E-04,56.33833,-165.79833,10130,7.697475018,36.820181936,4.8614643
1,198203,1982,63,31,D-04,56.00667,-165.79167,10130,18.698155298,95.04874947,4.8396218
1,198203,1982,64,50,C-04,55.68167,-165.80167,10130,14.426655321,130.8294649,4.4332521
1,198203,1982,65,50,B-04,55.34667,-165.78500,10130,9.2581586536,51.575651517,4.5564136
1,198203,1982,66,50,A-04,55.00833,-165.74000,10130,10.819830248,70.98446581,4.3389775
1,198203,1982,67,50,A-02,55.00333,-166.94000,10130,18.58717409,160.80901376,4.5146723
1,198203,1982,68,50,B-02,55.33000,-166.97167,10130,17.284591194,122.16288468,4.4612568
1,198203,1982,69,50,C-02,55.66333,-166.96833,10130,12.137808354,93.785320813,3.923855
1,198203,1982,70,50,D-02,56.00667,-167.02500,10130,26.356478514,188.08034446,3.923855
1,198203,1982,71,50,E-02,56.32667,-167.01333,10130,13.882884699,70.144184421,4.5905445
1,198203,1982,72,42,J-18,58.00633,-168.44367,10130,2.1898753607,35.342925126,4.3290135
1,198203,1982,73,41,K-18,58.32550,-168.46967,10130,1.907125058,31.911193735,4.637871
1,198203,1982,74,20,L-18,58.65367,-168.49100,10130,1.0640663662,16.655359789,4.262892
1,198203,1982,75,20,M-18,58.98400,-168.52300,10130,0.4567038077,1.7901178157,4.4689796
1,198203,1982,76,20,N-18,59.33483,-168.55300,10130,0.6967255348,3.7304989266,4.5570312
1,198203,1982,77,20,O-18,59.66100,-168.62333,10130,0.4357370171,2.6422862117,4.1630615
1,198203,1982,78,20,P-18,59.98867,-168.65333,10130,0.9661263848,4.2600142284,4.460079
1,198203,1982,79,20,Q-18,60.32050,-168.67417,10130,1.1112141663,2.6722585161,4.4905835
1,198203,1982,80,20,O-02,59.67167,-167.30500,10130,0.1745431218,0.2566810615,3.8958854
1,198203,1982,81,20,N-02,59.32117,-167.26817,10130,0.8214235011,1.7247737555,4.6382895
1,198203,1982,82,20,M-02,59.00933,-167.24767,10130,0.0830631113,2.0594159817,4.370171
1,198203,1982,83,20,L-02,58.67800,-167.22717,10130,0.2306641773,3.5384725179,4.5217251
1,198203,1982,84,20,K-02,58.35133,-167.19083,10130,1.410116328,23.810594656,4.535796
1,198203,1982,85,31,J-02,57.99750,-167.16883,10130,2.2563542159,56.943381392,4.5835002
1,198203,1982,86,31,I-02,57.67667,-167.14667,10130,1.0697225291,12.577044222,4.4525565
1,198203,1982,87,31,H-02,57.34333,-167.13500,10130,2.1658133021,8.4131330371,4.397886
1,198203,1982,88,31,G-02,57.00833,-167.08167,10130,2.7874259355,11.363050819,4.3122222
1,198203,1982,89,31,F-02,56.66333,-167.07667,10130,9.9840822848,71.345852991,4.6113402
1,198203,1982,90,42,JI1918,57.83583,-168.68383,10130,0.259727517,5.9549518883,4.3661142
1,198203,1982,91,42,I-18,57.66867,-168.41833,10130,0.3047907849,3.1352468686,4.4653581
1,198203,1982,92,42,IH1918,57.50883,-168.64100,10130,0.6705168196,2.9143854315,4.8037572
1,198203,1982,93,32,H-18,57.34217,-168.38783,10130,0.8842466924,2.8160722689,4.6163588
1,198203,1982,94,32,HG1918,57.17667,-168.62167,10130,0.5597056967,2.5139904712,4.3755138
1,198203,1982,95,32,G-18,57.01283,-168.34083,10130,0.5051385824,2.2272424267,4.489857
1,198203,1982,96,32,GF1918,56.85233,-168.64883,10130,1.8911253321,10.055263729,4.0774664
1,198203,1982,97,50,F-18,56.66000,-168.31667,10130,2.5837795136,13.054186409,4.2132078
1,198203,1982,98,50,E-18,56.34500,-168.26333,10130,1.2258186637,4.365303025,4.8106626
1,198203,1982,99,50,D-18,56.01167,-168.23500,10130,2.9830149534,11.880295668,4.7136874
1,198203,1982,100,50,C-18,55.67867,-168.19600,10130,7.4113550501,47.003640992,4.467739
1,198203,1982,102,32,F-20,56.66033,-169.50150,10130,0.0488045529,0.4299960608,4.6512054
1,198203,1982,104,42,GF2120,56.84200,-169.92817,10130,0,0,4.400516
1,198203,1982,106,42,G-20,57.01500,-169.52283,10130,0,0,4.3042428
